date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:38	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://arsellachristabel2.wixsite.com/robots.txt		(from )
07:55:39	813796/813796	---MCZ	200	added ('OK')	text/html	etag:W/%22e987acf594c332d04339b668ccda4b11%22	https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3	C:/My%20Web%20Sites/alvin/arsellachristabel2.wixsite.com/alvin-and-the-chip-3.html	(from )
07:55:39	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/alvin/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:39	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/alvin/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:40	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2001%20Feb%202025%2000:55:39%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/alvin/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:40	2484/2484	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:55:39%20GMT	https://arsellachristabel2.wixsite.com/s	C:/My%20Web%20Sites/alvin/arsellachristabel2.wixsite.com/s.4.delayed	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:41	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:55:40%20GMT	https://arsellachristabel2.wixsite.com/t	C:/My%20Web%20Sites/alvin/arsellachristabel2.wixsite.com/t.5.delayed	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:42	2484/2484	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:55:40%20GMT	https://arsellachristabel2.wixsite.com/	C:/My%20Web%20Sites/alvin/arsellachristabel2.wixsite.com/index.html	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:43	858115/858115	---MCZ	200	added ('OK')	text/html	etag:W/%22728d24a9b8bf6f9aec6800214d0528a3%22	https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3/book-online	C:/My%20Web%20Sites/alvin/arsellachristabel2.wixsite.com/alvin-and-the-chip-3/book-online.html	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
07:55:43	165521/165521	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Feb%202025%2000:55:42%20GMT	https://static.wixstatic.com/media/886043_1e1c2e4da2f94484bf049598d2bcc627~mv2.png/v1/fill/w_497,h_229,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/1024px-Alvin_and_the_Chipmunks_(film)_logo.png	C:/My%20Web%20Sites/alvin/static.wixstatic.com/media/886043_1e1c2e4da2f94484bf049598d2bcc627_mv2.png/v1/fill/w_497,h_229,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/1024px-Alvin_and_the_Chipmunks_(film)_logo.png	(from https://arsellachristabel2.wixsite.com/alvin-and-the-chip-3)
